RucProveedor;CodFactura;ProductoFactura;UnidadFactura;CostoFactura;CodProducto;Producto;Marca;Categoria;UnidadMedidaCompra;FactorVenta;TipoResultado;ScoreFinal;Rank
20493654463;009;CONT.TERM.80X80MM50UDS;CAJA;150.0;32389;QUESO DANE FRESCO UND.;;LACTEOS;DOCENA;12.0;POSIBLE_NUEVO_PRODUCTO;0.19080865913245834;1
20493654463;009;CONT.TERM.80X80MM50UDS;CAJA;150.0;43281;SALAME BRAEDT HUNGARO KG.;_;EMBUTIDOS;KILOGRAMO;1.0;ALTERNATIVA;0.1300639742126258;2
20493201329;009;CONT.TERM.80X80MM50UDS;CAJA;150.0;18550;PEPERONI BRAEDT KG.;BRAEDT;EMBUTIDOS;KILOGRAMO;1.0;ALTERNATIVA;0.12216521582783486;3
20100052050;2002;DIFUSION DE PUBLICIDAD RADIAL POR EL MES DE AGOSTO-2025 A TRAVï¿½S DE RADIO LORETO PROGRAMA LORETO EN LA NOTICIA QUE SE TRANSMITE DE LUNES A VIERNES.;UNIDAD;1000.0;23831;COLONIA HENO DE PRAVIA AMANECER EN EL CAMPO 500 ML;HENO DE PRAVIA;CUIDADO PERSONAL;UNIDAD;1.0;POSIBLE_NUEVO_PRODUCTO;0.37134752194067366;1
20524221676;2002;DIFUSION DE PUBLICIDAD RADIAL POR EL MES DE AGOSTO-2025 A TRAVï¿½S DE RADIO LORETO PROGRAMA LORETO EN LA NOTICIA QUE SE TRANSMITE DE LUNES A VIERNES.;UNIDAD;1000.0;51025;MIX FEST DE FRUTAS LORETO 350 GR;FEST;FRUTAS;UNIDAD;1.0;ALTERNATIVA;0.3658019884751653;2
10054145603;2002;DIFUSION DE PUBLICIDAD RADIAL POR EL MES DE AGOSTO-2025 A TRAVï¿½S DE RADIO LORETO PROGRAMA LORETO EN LA NOTICIA QUE SE TRANSMITE DE LUNES A VIERNES.;UNIDAD;1000.0;32309;QUESO DE LA VACA A LA BOCA 250 GR;DE LA VACA A LA BOCA;LACTEOS;UNIDAD;1.0;ALTERNATIVA;0.36519375657376524;3
20601538165;0182;LEGALIZACION DE FIRMAS.;UNIDAD;25.0;49485;MAQUINA DE AFEITAR GILLETTE DERMA PROTECCION 4 CARTUCHOS;GILLETTE;CUIDADO PERSONAL;UNIDAD;1.0;POSIBLE_NUEVO_PRODUCTO;0.2931761128858311;1
20493654463;0182;LEGALIZACION DE FIRMAS.;UNIDAD;25.0;20283;HUESO DE RES;_;CARNES;KILOGRAMO;1.0;ALTERNATIVA;0.2325972390201173;2
20608225901;0182;LEGALIZACION DE FIRMAS.;UNIDAD;25.0;40641;TABLA GUAZUMA DE SERVIR;GUAZUMA;COCINA;UNIDAD;1.0;ALTERNATIVA;0.19035398544363183;3
20607784401;0181;DILIGENCIAMIENTO DE CARTA NOTARIAL DIRIGIDA A: KAREN DAYANA ESCOBEDO GARCIA, TRUJILLO Nº 584- IQUITOS.;UNIDAD;40.0;17251;TOCINO CERDEÑA AHUMADO SIN PIEL CORTADO KG.;CERDEÑA;EMBUTIDOS;KILOGRAMO;1.0;POSIBLE_NUEVO_PRODUCTO;0.1873712187491846;1
